% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=915130, Tue Dec 22 13:26:06 2015
1 20 0.390439086681 1.00002500031 3.20330670721e-06 3.2033067072104714e-06 2.18989110549e-05 0.000405431952299   
2 40 0.734440209261 1.65490178731 2.77178825231e-10 2.7717882523099981e-10 1.66797351664e-05 0.000266515739348   
3 60 1.53655114442 2.19403487651 2.02012995896e-17 2.0201299589640391e-17 5.55968617234e-09 0.00321575732075   
4 80 1.73935772003 2.45094067905 -0.171672807786 -1.7167280778606220e-01 1.43009832401e-17 0.00166771846735   
5 100 1.64639616296 2.92937465573 -0.171672807786 -1.3883445873304300e-02 6.03780341241e-17 2.51976264239   
6 120 2.61432725314 2.95920906565 -0.171672807786 7.6881207400635255e-67 9.36946698466e-20 0.00402347205531   
7 140 3.47054126346 3.83655998676 -0.171672807786 1.4471584187749366e-78 1.38204966559e-46 0.00631302264084   
8 160 5.22975461532 2.46007031617 -0.171672807786 -2.5157553239564752e-26 5.92125100322e-49 1.54132591617   
9 180 6.61206961744 3.37390252832 -0.509634573289 -5.0963457328917472e-01 1.91579058169e-39 0.857882650607   
10 200 6.72345141915 3.80326882308 -1.82879076582 -1.8287907658168032e+00 -2.23342912194e-31 6.67879354085e-06   
11 220 5.50436902993 3.69726924552 -1.90043152709 -1.9004315270917964e+00 -4.61283063385e-48 0.0182945626716   
12 240 4.56406825876 4.2322856082 -1.90043152709 -1.9985165325109183e-04 -2.56099472822e-64 0.802056258994   
13 260 3.8421933167 4.25009725963 -1.90043152709 -1.5588773224281278e+00 -1.99113283618e-29 7.71782069644e-13   
14 280 5.29294008897 4.72989388033 -1.90043152709 -8.2675271682249984e-05 -2.29090294123e-35 2.90764676936e-08   
15 300 4.60271817639 6.66700093522 -1.90043152709 -4.5648031603266697e-18 -9.7280060334e-55 0.000194917918308   
16 320 3.92194029055 5.68220799893 -1.90043152709 -1.3492046566274194e-04 -2.28971766837e-28 9.43123857955e-09   
17 340 3.24016422172 4.76108475519 -1.90043152709 -6.9016040742164969e-02 -3.29286666532e-26 1.00315990327e-05   
18 360 3.84758827825 4.25134024278 -1.90043152709 -1.5948289238399749e-01 -1.8019712194e-22 1.69587967036e-21   
19 380 5.16591526584 4.05956922878 -3.90038083897 -3.9003808389711967e+00 -2.10292784614e-19 0.148745480618   
20 400 4.26528114431 3.64049338101 -3.90038083897 -3.7655082424486758e-02 -2.77760604877e-63 0.0886265988835   
21 420 3.26106835719 4.27762156801 -3.90038083897 -6.2825026695111519e-01 -4.01777931365e-30 0.437127738374   
22 440 3.20517198006 4.01322489988 -3.90038083897 -2.5356875398344458e+00 -4.42428493922e-08 0.00156602491786   
23 460 3.88294889034 3.65958477525 -3.90038083897 -3.7825493884565744e+00 -0.000264551280093 0.000678030036508   
24 480 3.99325269175 2.5503369011 -3.90038083897 -3.2616708503259972e+00 -0.00136192580552 0.0211506392413   
25 500 3.81505910074 1.69005366064 -5.40375845039 -5.4037584503919875e+00 -0.0295600767279 3.14769950417   
26 520 3.51635943679 1.56140284224 -5.40375845039 -2.3730947625719301e+00 -0.0615748898739 5.68237669719   
27 540 3.68522399608 1.6955524794 -5.99461551925 -5.9946155192545323e+00 -0.0547724501471 7.95943672812   
28 560 3.46062085033 2.27264519003 -5.99461551925 -5.8131381847404127e+00 -0.680986259926 0.901984650113   
29 580 3.08555867737 1.87490746204 -5.99461551925 -5.3869887197148172e+00 -2.81142237259 -0.000183688735072   
30 600 3.32216458722 1.86057338406 -5.99461551925 -5.8617869523425004e+00 -2.77216301548 1.94552580368   
31 620 2.83710100193 2.09128691559 -5.99461551925 -5.7425096422172643e+00 -3.13681484431 0.381200881405   
32 640 2.63088336616 1.95812898955 -6.05641028226 -6.0564102822578842e+00 -5.14607921474 -1.49092790707   
33 660 2.02835820853 1.73200701172 -6.05641028226 -6.0341391418090407e+00 -4.94332968951 -2.58094451946   
34 680 1.52042095964 1.48544586275 -6.08054598999 -6.0805459899921201e+00 -5.85515679903 -5.24456907028   
35 700 1.32292546566 1.41765466943 -6.08054598999 -6.0795593853812777e+00 -5.97339957399 -5.7311989872   
36 720 1.04654649764 1.2721813306 -6.08054598999 -6.0800397732850664e+00 -6.0338885818 -5.94559404867   
37 740 0.882449913673 1.43745418032 -6.08102399844 -6.0810239984390284e+00 -6.07327554009 -6.05401225471   
38 760 0.713580158243 1.51579808909 -6.08102399844 -6.0809312490837462e+00 -6.07482341349 -6.05592483793   
39 780 0.582555842638 1.59869177696 -6.08102399844 -6.0809105825404508e+00 -6.0797997155 -6.07573425778   
40 800 0.515752509555 1.65003024662 -6.08102399844 -6.0810228626321514e+00 -6.0804004688 -6.07903657147   
41 820 0.450300607185 1.5126579967 -6.08102399844 -6.0810120843234330e+00 -6.08055109571 -6.07973273642   
42 840 0.356021005052 1.58078197233 -6.08104440292 -6.0810444029196224e+00 -6.08088901684 -6.08016400949   
43 860 0.285758977878 1.78289214474 -6.08104852703 -6.0810485270322623e+00 -6.08101733186 -6.08084908383   
44 880 0.227161896678 1.95229363782 -6.08104901983 -6.0810490198314930e+00 -6.08103350889 -6.08100254432   
45 900 0.169648116625 2.03937698606 -6.08104901983 -6.0810489576523983e+00 -6.08104687647 -6.08099464899   
46 920 0.128498720322 2.1174673903 -6.08104908107 -6.0810490810684179e+00 -6.0810470366 -6.08103760092   
47 940 0.122988305289 2.08459977312 -6.08104908107 -6.0810489485651154e+00 -6.08104828198 -6.0810469897   
